Adresse,Nom,Type,Commentaire,Adresse_ABS,Categorie
398.0,_12_Oil_temp_gear_R,REAL,Méc. levage 2: température de l'huil e du réducteur Méc. levage 2 / Méc. fermeture,%DB102.DBD398,Télémesure
402.0,_12_Grab_weight,REAL,Poids propre de la benne à quatre câbles Méc. levage 2 / Méc. fermeture,%DB102.DBD402,Télémesure
406.0,_12_Selected_N_F_Load,REAL,Charge max. pour l'atténuation du champ Méc. levage 2 / Méc. fermeture,%DB102.DBD406,Télémesure
410.0,_12_Current_Con_setpoint,REAL,Sortie régulateur de compensation du courant Méc. levage 2 / Méc. fermeture,%DB102.DBD410,Téléréglage
414.0,_12_Pos_Diff_actual,REAL,Différence de position entre méc. de levage 1 et méc. de levage 2 Méc. levage 2 / Méc. fermeture,%DB102.DBD414,Télémesure
418.0,_12_Grab_s_act_percent,REAL,Course de fermeture de la benne en p ourcentage Méc. levage 2 / Méc. fermeture,%DB102.DBD418,Télémesure
422.0,_12_Pos_Control_setpoint,REAL,Sortie régulateur de course Méc. levage 2 / Méc. fermeture,%DB102.DBD422,Téléréglage
426.0,_12_Pos_Ctrl_setp_lim,REAL,Sortie régulateur de course limitée par le manipulateur Méc. levage 2 / Méc. fermeture,%DB102.DBD426,Téléréglage
430.0,_12_Setpoint_MC,REAL,Valeur de consigne venant du manipul ateur Méc. levage 2 / Méc. fermeture,%DB102.DBD430,Téléréglage
434.0,_12_Pos_Diff_max_cm,WORD,Différence max. de course de fermetu re en cm Méc. levage 2 / Méc. fermeture,%DB102.DBW434,Télémesure
436.0,_12_Pos_Diff_actual_cm,WORD,Différence de course actuelle en cm Méc. levage 2 / Méc. fermeture,%DB102.DBW436,Télémesure
438.0,_12_Selected_current,REAL,Courant maximal pour atténuation du champ Méc. levage 2 / Méc. fermeture,%DB102.DBD438,Télémesure
442.0,_12_Mot_temp,REAL,Température du moteur en degrés Celsius Méc. levage 2 / Méc. fermeture,%DB102.DBD442,Télémesure
446.0,_12_CMD_setp_TC_R,REAL,Valeur de consigne manipulateur pour fermeture Méc. levage 2 / Méc. fermeture,%DB102.DBD446,Téléréglage
450.0,_12_CMD_setp_TC_I,INT,Manipulateur méc. levage 2: valeur brute de la valeur de consigne Méc. levage 2 / Méc. fermeture,%DB102.DBW450,Téléréglage
452.0,_21_Ramp_setpoint_R,REAL,Temps d’accélération de consigne en secondes Mécanisme d'orientation,%DB102.DBD452,Téléréglage
456.0,_21_Ramp_setpoint_RND_R,REAL,Temps d’accélération de consigne en secondes arrondi en chiffres entiers Mécanisme d'orientation,%DB102.DBD456,Téléréglage
460.0,_21_MS1_X_R,REAL,Ordre: lire et adapter valeur de con signe Mécanisme d'orientation 1,%DB102.DBD460,Télémesure
464.0,_21_MS1_Y_R,REAL,Ordre: lire et adapter valeur de con signe Mécanisme d'orientation 2,%DB102.DBD464,Télémesure
468.0,_21_Ramp_Rad_min,REAL,Portée min. pour temps d’accélératio n en m Mécanisme d'orientation,%DB102.DBD468,Télémesure
472.0,_21_MS3_Y_R,REAL,Calculer val. consigne vitesse du mé c. orientation suivant la portée Mécanisme d'orientation,%DB102.DBD472,Téléréglage
476.0,_21_N_setpoint_R,REAL,Transmission de consigne à l'entraîn ement en % Mécanisme d'orientation,%DB102.DBD476,Téléréglage
480.0,_21_Press_brake1_R,REAL,Pression de service du frein d’orien tation 1 Mécanisme d'orientation 1,%DB102.DBD480,Télémesure
484.0,_21_Press_brake2_R,REAL,Pression de service du frein d’orien tation 2 Mécanisme d'orientation 2,%DB102.DBD484,Télémesure
488.0,_21_Press_brake3_R,REAL,Pression de service du frein d’orien tation 3 Mécanisme d'orientation 3,%DB102.DBD488,Télémesure
492.0,_21_Press_brake4_R,REAL,Pression de service du frein d’orien tation 4 Mécanisme d'orientation 4,%DB102.DBD492,Télémesure
496.0,_21_N_actual_R,REAL,Valeur réelle vitesse en t/min Mécanisme d'orientation,%DB102.DBD496,Télémesure
500.0,_21_I_actual_R,REAL,Valeur réelle du courant en A Mécanisme d'orientation,%DB102.DBD500,Télémesure
504.0,_21_P_actual_R,REAL,Puissance en kW Mécanisme d'orientation,%DB102.DBD504,Télémesure
508.0,_21_U_actual_R,REAL,Valeur réelle de tension de moteur en V Mécanisme d'orientation,%DB102.DBD508,Télémesure
512.0,_21_Motor_temp_actual_R,REAL,Valeur réelle de température du moteur en °C Mécanisme d'orientation,%DB102.DBD512,Télémesure
516.0,_21_RAD_actual_R,REAL,Angle d'orientation superstructure c hâssis: valeur réelle Mécanisme d'orientation,%DB102.DBD516,Télémesure
